Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,28298;156,19114;156,37482;156,17355;156,39241;
Customers departed;154,54042;154,46444;154,6164;154,44989;154,63095;
Customers in system;22,54116541301556;22,50526;22,57707;22,49838;22,58395;
Time in system;68,5485709259774;68,47573;68,62141;68,46178;68,63536;
Customers in system at the end;1,74256;1,71321;1,77191;1,70759;1,77753;
Customers in check in queue;5,624298308069927;5,59696;5,65163;5,59173;5,65687;
Time in check in queue;16,655212973038836;16,58267;16,72776;16,56878;16,74165;
Customers in payment queue;0,39366364528043574;0,393;0,39433;0,39287;0,39445;
Time in payment in queue;1,2123103985949621;1,21062;1,214;1,2103;1,21432;
Customers in parking lot;0,48938522417466623;0,48804;0,49073;0,48778;0,49099;
Time in parking lot;1,2529814623579;1,2496;1,25637;1,24895;1,25702;
Free clerks;0,7383145145062293;0,73659;0,74004;0,73626;0,74037;
Free mechanics group 1;2,860032442829895;2,8559;2,86416;2,85511;2,86495;
Free mechanics group 2;1,8534447625105854;1,84999;1,8569;1,84932;1,85757;
Labour costs;36400
Number of replications;50000
