Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;156,29051;156,22579;156,35523;156,2134;156,36762;
Customers departed;155,45264;155,39416;155,51112;155,38296;155,52232;
Customers in system;21,247401667592403;21,22502;21,26978;21,22074;21,27406;
Time in system;64,70693389339964;64,66278;64,75109;64,65432;64,75955;
Customers in system at the end;0,83787;0,82437;0,85137;0,82178;0,85396;
Customers in check in queue;3,5895989459243043;3,57455;3,60465;3,57167;3,60753;
Time in check in queue;10,572165109893099;10,53169;10,61264;10,52394;10,62039;
Customers in payment queue;0,41927433968477895;0,41866;0,41989;0,41854;0,42001;
Time in payment in queue;1,2929036368444282;1,29106;1,29474;1,29071;1,2951;
Customers in parking lot;1,2832961194316896;1,28104;1,28556;1,2806;1,28599;
Time in parking lot;3,308437224468345;3,30286;3,31401;3,3018;3,31508;
Free clerks;3,546698120017374;3,54545;3,54794;3,54521;3,54818;
Free mechanics group 1;2,18739842719361;2,18439;2,19041;2,18382;2,19098;
Free mechanics group 2;1,562856910525809;1,56038;1,56534;1,5599;1,56581;
Labour costs;38200
Number of replications;100000
