Name;Mean;Lower 90% CI; Upper 90% CI; Lower 95% CI; Upper 95% CI;
Customers arrived;193,362;192,64208;194,08192;192,50422;194,21978;
Customers departed;88,458;88,34848;88,56752;88,32751;88,58849;
Customers in system;72,75675310071918;72,30886;73,20465;72,22309;73,29042;
Time in system;173,8844511636272;173,27921;174,48969;173,16332;174,60559;
Customers in system at the end;104,904;104,17999;105,62801;104,04135;105,76665;
Customers in check in queue;62,435914233766354;61,98793;62,8839;61,90214;62,96969;
Time in check in queue;136,5414059621032;135,90172;137,18109;135,77922;137,30359;
Customers in payment queue;0,533059669986193;0,53038;0,53574;0,52987;0,53625;
Time in payment in queue;2,8669750425741913;2,85217;2,88178;2,84933;2,88462;
Customers in parking lot;0,11255227752044236;0,10952;0,11559;0,10894;0,11617;
Time in parking lot;0,17680855621544356;0,17204;0,18158;0,17112;0,18249;
Free clerks;0,007712652933938288;0,00719;0,00823;0,00709;0,00833;
Free mechanics group 1;4,836810134083444;4,82203;4,85159;4,81919;4,85443;
Free mechanics group 2;9,778833754489042;9,76164;9,79603;9,75835;9,79932;
Labour costs;44200
Number of replications;1000
